EAR_ID,EAR_HISTORY,STATE
1696254012.7814896,0.277370929850705#0.304176281573158#0.263336389675448#0.258242522916041#0.27633662686225#0.273255704514653#0.248915229339902#0.275975214102338#0.26418504697958#0.271887956555873#0.273970773903949#0.28441974773521#0.283605805990083#0.259318946021258#0.263921078099855#0.272633804750848#0.285408434841579#0.259732878097303#0.268876907144542#0.184568525044133#0.0824435741273377#0.108311344529808#0.116693209266466#0.0917065546857792#0.143650782666671#0.163686551938354#0.215157529211349#0.200956351914057#0.262733531773638#0.258184049620327#0.275053450357339#0.283501500017402,abnormal
1696254013.5934894,0.265423401270143#0.255610747035919#0.267055185913308#0.0631070947647667#0.0898058254014516#0.0799102901486655#0.0972407951983758#0.0873654745610067#0.166813085447977#0.271777995258464#0.29015335122104,normal
1696254017.0534902,0.249182907438106#0.246716790800341#0.246757802918255#0.244139755497996#0.269720197174976#0.267785860218633#0.24491410971888#0.261085639373552#0.292240364731829#0.274249453326875#0.28136867757857#0.282763653314698#0.275726265760092#0.279631231751843#0.284160339092721#0.0925304595489662#0.102486865097261#0.245023835449768#0.239345521449572#0.246125890696821#0.266817373670094#0.263696937289744#0.245811825003388#0.261264192137247#0.25351290746543#0.26486020486435#0.274497314801227#0.259064252910318#0.259791428790107#0.26060370523872#0.242652177911628#0.246544603680129#0.247994239875406#0.250844167532805#0.270842762835012#0.102914839923261#0.210487513434844#0.268876907144542#0.25771404367226#0.273970773903949#0.286149281096474,abnormal
1696254020.2684839,0.255716154445276#0.254470604875941#0.286923607419979#0.286293616404142#0.307496438929102#0.275855571345268#0.279642120897126#0.308492260526282#0.302436796866636#0.298639624784899#0.302463701818917#0.29905353686393#0.267537938045952#0.303032031142896#0.283199085126857#0.308591305752792#0.287719576337384#0.264897503618175#0.292389817867635#0.257593878771212#0.267883926430894#0.276284942796458#0.291185061170426#0.27373935752368#0.288818554198332#0.278070698116151#0.284509007137216#0.171897517620332#0.114384588383999#0.120458787229433#0.144441653474038#0.157217129555611#0.12684256368881#0.121074382022037#0.10067530003211#0.127014383664925#0.132980784955419#0.123988523864841#0.109346217777439#0.126895535145775#0.0944968055930436#0.179678406476552#0.308228901989159,abnormal
1696254023.3564847,0.291278034718046#0.305883785014116#0.28108342575076#0.261828753187009#0.290441920476307#0.278856876262695#0.285416819338006#0.298068374787127#0.272531165994919#0.278911985068035#0.308098524468489#0.304663345802115#0.286021726750532#0.276189542546811#0.298134358155395#0.269902312757634#0.282412044132625#0.284650581457842#0.299281306025153#0.301278416757239#0.293408262650004#0.306922803118419#0.280002516022655#0.293339096349808#0.292511192534304#0.297741241340093#0.288765212042947#0.295266480425521#0.281471476700231#0.253354708337384#0.109731701526428#0.114398234859914#0.113859203893254#0.184288708167853#0.229780002293135#0.220250572898571#0.244025875976882#0.238077065617484#0.300239223471982,abnormal
1696254031.2617047,0.278223797677906#0.295644730780021#0.23998600564256#0.208926307212936#0.10136822295016#0.0936379198652023#0.205743208477455#0.157316637848439#0.0849362764314136#0.104129490092884#0.100007835765582#0.0895072739962551#0.0986010895286077#0.162393981264283#0.109732452389404#0.105130541374044#0.184433105343287#0.234586441546463#0.230598079748268#0.232625091375029#0.222519258050201#0.244304065573291#0.23164640456652#0.226645089743276#0.211835754221211#0.244436395945804#0.120098474125815#0.125049612291865#0.136856131169099#0.158141126420062#0.121145002861097#0.0866090540322872#0.09853860165423#0.143913313385121#0.160527592088357#0.116138424868502#0.152992600061703#0.202521170648739#0.203264647328901#0.225894301508848#0.211447811771371#0.173737387942234#0.14818234357517#0.186899793397894#0.153268121025729#0.185351583311158#0.128613428545595#0.172823317128452#0.181402111438452#0.21553948705777#0.142331216911652#0.183065844640189#0.11841263936337#0.147702111954222#0.173209200946906#0.192817177227842#0.144505933520227#0.187587420434793#0.214615939789379#0.237152171286478#0.202008472866766#0.204593970439867#0.196913599685989#0.207212756451315#0.156484685410575#0.206192570623003#0.20948265317749#0.205093500086017#0.21397263483967#0.217066525990982#0.195979815367901#0.192583762477003#0.230516676560513#0.255496993964243#0.231883684359615#0.227659724143512#0.210970145882963#0.214129750002021#0.212224543533066#0.244320706269915#0.20746972594511#0.251180130003721#0.257234949229805#0.212984217094321#0.199603286624877#0.199761309836679#0.171543632209844#0.252646837511711#0.199271039145109#0.266814259551222#0.110743087465035#0.111420532470339#0.224713185502942#0.257501694574347#0.25551315845532#0.267876915907585#0.254390763106624#0.273079061668004#0.24939325851993#0.23056699864495#0.253449645653123#0.252788302580477#0.289240034127695,abnormal
1696254033.0026982,0.276327761346788#0.244542465586793#0.268425806634971#0.262218940920919#0.248135769604638#0.294041940628541#0.258369244457752#0.256780838067517#0.244157034504515#0.279861379300875#0.239886386153528#0.240670296940328#0.251754103689197#0.158507458896599#0.10774137312942#0.109533717049089#0.119544305385016#0.233030739621931#0.259148406602872#0.258166830458431#0.255730970253015#0.279294995348511,abnormal
1696254034.5713117,0.269476000452904#0.281179818036691#0.254679988548728#0.262838930808835#0.263341661550022#0.256991972527395#0.132721844918419#0.128133300034543#0.170388834185114#0.244143694335841#0.217443504402154#0.256359389749696#0.266197623251968#0.245014679356972#0.224725618393674#0.268260625776418#0.265141996732901#0.227839264424514#0.272532176682491#0.287536351607956,abnormal
1696254036.6141572,0.262014424429753#0.223241262622695#0.241716034977776#0.24246991864024#0.280025531314894#0.255248051887557#0.250720716432501#0.260226329992067#0.266587973102424#0.2414602598596#0.26668707669193#0.132038783217072#0.104964483623195#0.171775227925696#0.175368021199724#0.130498193124044#0.14878653113528#0.173150217074069#0.232720800298485#0.252896519105612#0.229296234582652#0.237044973997219#0.229717615908521#0.219318917694152#0.208192569084344#0.29038053537473,abnormal
1696254039.4075606,0.277348887538134#0.266903890169124#0.258756792898005#0.257020535759328#0.251637908608284#0.203503107017733#0.212713518914531#0.26046722527056#0.182820867081997#0.247315072501778#0.213325119414579#0.248261863008827#0.283025046559024#0.256688078742006#0.307809659937587#0.299979053728276#0.262844664625582#0.243429862661424#0.247703651270854#0.222311818167178#0.247218505672151#0.259760814064829#0.195328174600503#0.19817137055583#0.117635190950448#0.112171368644708#0.109556966477058#0.114315107676117#0.0917171202384651#0.111631794705556#0.0980891681626303#0.137080198660876#0.118374106697932#0.102960636782887#0.0996116432388653#0.116708774818654#0.23846379477824#0.281256272364859,abnormal
