name,eye_cnt,diff,start_time,end_time,date
Code.exe,0,0.0166665762662888,20:28:29,20:28:30,2023-07-27
Code.exe,0,0.0,20:28:30,20:28:30,2023-07-27
Code.exe,0,0.0,20:28:30,20:28:30,2023-07-27
Code.exe,0,0.0,20:28:30,20:28:30,2023-07-27
Code.exe,0,0.0,20:28:30,20:28:30,2023-07-27
Code.exe,0,0.0166665762662888,20:28:30,20:28:31,2023-07-27
Code.exe,0,0.0166665762662888,20:28:31,20:28:32,2023-07-27
Code.exe,0,0.0,20:28:32,20:28:32,2023-07-27
Code.exe,0,0.0,20:28:32,20:28:32,2023-07-27
Code.exe,0,0.0333338230848312,20:28:32,20:28:34,2023-07-27
Code.exe,0,0.0,20:28:34,20:28:34,2023-07-27
Code.exe,1,0.0333331525325775,20:28:34,20:28:36,2023-07-27
Code.exe,1,0.0499997287988663,20:28:36,20:28:39,2023-07-27
Code.exe,0,0.0,20:28:39,20:28:39,2023-07-27
Code.exe,0,0.0,20:28:39,20:28:39,2023-07-27
Code.exe,0,0.0166672468185425,20:28:39,20:28:40,2023-07-27
Code.exe,1,0.0166665762662888,20:28:40,20:28:41,2023-07-27
Code.exe,0,0.0,20:28:41,20:28:41,2023-07-27
Code.exe,0,0.0,20:28:41,20:28:41,2023-07-27
Code.exe,0,0.0,20:28:41,20:28:41,2023-07-27
Code.exe,0,0.0,20:28:41,20:28:41,2023-07-27
Code.exe,3,0.116666704416275,20:28:41,20:28:48,2023-07-27
Code.exe,4,0.18333300948143,20:28:48,20:28:59,2023-07-27
Code.exe,0,0.0166665762662888,20:28:59,20:29:00,2023-07-27
Code.exe,0,0.0,20:29:00,20:29:00,2023-07-27
Code.exe,0,0.0,20:29:00,20:29:00,2023-07-27
Code.exe,0,0.0166665762662888,20:29:00,20:29:01,2023-07-27
Code.exe,0,0.0166672468185425,20:29:01,20:29:02,2023-07-27
Code.exe,0,0.0,20:29:02,20:29:02,2023-07-27
Code.exe,0,0.0,20:29:02,20:29:02,2023-07-27
Code.exe,0,0.0166665762662888,20:29:02,20:29:03,2023-07-27
Code.exe,1,0.0,20:29:03,20:29:03,2023-07-27
Code.exe,0,0.0166665762662888,20:29:03,20:29:04,2023-07-27
Code.exe,0,0.0,20:29:04,20:29:04,2023-07-27
Code.exe,0,0.0,20:29:04,20:29:04,2023-07-27
Code.exe,0,0.0,20:29:04,20:29:04,2023-07-27
Code.exe,1,0.0166665762662888,20:29:04,20:29:05,2023-07-27
Code.exe,0,0.0,20:29:05,20:29:05,2023-07-27
Code.exe,0,0.0,20:29:05,20:29:05,2023-07-27
Code.exe,0,0.0166665762662888,20:29:05,20:29:06,2023-07-27
Code.exe,0,0.0,20:29:06,20:29:06,2023-07-27
Code.exe,0,0.0,20:29:06,20:29:06,2023-07-27
Code.exe,0,0.0,20:29:06,20:29:06,2023-07-27
Code.exe,1,0.0166665762662888,20:29:06,20:29:07,2023-07-27
Code.exe,0,0.0,20:29:07,20:29:07,2023-07-27
Code.exe,0,0.0,20:29:07,20:29:07,2023-07-27
Code.exe,0,0.0,20:29:07,20:29:07,2023-07-27
Code.exe,1,0.0166665762662888,20:29:07,20:29:08,2023-07-27
Code.exe,0,0.05000039935112,20:29:08,20:29:11,2023-07-27
Code.exe,11,0.133333280682564,20:29:11,20:29:19,2023-07-27
Code.exe,18,0.41666641831398,20:29:19,20:29:44,2023-07-27
Code.exe,6,0.266666561365128,20:29:44,20:30:00,2023-07-27
Code.exe,1,0.0166665762662888,20:30:00,20:30:01,2023-07-27
Code.exe,1,0.0666669756174088,20:30:01,20:30:05,2023-07-27
electron.exe,0,0.0166665762662888,20:30:05,20:30:06,2023-07-27
Code.exe,0,0.0166665762662888,20:30:06,20:30:07,2023-07-27
Code.exe,4,0.149999856948853,20:30:07,20:30:16,2023-07-27
Code.exe,16,0.183333680033684,20:30:16,20:30:27,2023-07-27
Code.exe,14,0.216666832566261,20:30:27,20:30:40,2023-07-27
Code.exe,17,0.350000113248825,20:30:40,20:31:01,2023-07-27
electron.exe,2,0.0333331525325775,20:31:01,20:31:03,2023-07-27
electron.exe,0,0.0,20:31:03,20:31:03,2023-07-27
electron.exe,0,0.0,20:31:03,20:31:03,2023-07-27
electron.exe,0,0.0166665762662888,20:31:03,20:31:04,2023-07-27
electron.exe,0,0.0,20:31:04,20:31:04,2023-07-27
Code.exe,4,0.133333280682564,20:31:04,20:31:12,2023-07-27
Code.exe,0,0.499999970197678,20:31:12,20:31:42,2023-07-27
Code.exe,0,0.0499997287988663,20:31:42,20:31:45,2023-07-27
Code.exe,1,0.0,20:31:45,20:31:45,2023-07-27
Code.exe,1,0.0166672468185425,20:31:45,20:31:46,2023-07-27
Code.exe,1,0.066666305065155,20:31:46,20:31:50,2023-07-27
Code.exe,2,0.116666704416275,20:31:50,20:31:57,2023-07-27
Code.exe,0,0.0333331525325775,20:31:57,20:31:59,2023-07-27
Code.exe,3,0.116666704416275,20:31:59,20:32:06,2023-07-27
electron.exe,1,0.0,20:32:06,20:32:06,2023-07-27
electron.exe,0,0.0166665762662888,20:32:06,20:32:07,2023-07-27
electron.exe,3,0.0333338230848312,20:32:07,20:32:09,2023-07-27
Code.exe,2,0.0166665762662888,20:32:09,20:32:10,2023-07-27
Code.exe,0,0.0,20:32:10,20:32:10,2023-07-27
Code.exe,0,0.0166665762662888,20:32:10,20:32:11,2023-07-27
Code.exe,0,0.0,20:32:11,20:32:11,2023-07-27
Code.exe,0,0.0,20:32:11,20:32:11,2023-07-27
Code.exe,0,0.0,20:32:11,20:32:11,2023-07-27
Code.exe,0,0.0,20:32:11,20:32:11,2023-07-27
Code.exe,0,0.0166665762662888,20:32:11,20:32:12,2023-07-27
Code.exe,0,0.0,20:32:12,20:32:12,2023-07-27
Code.exe,0,0.0,20:32:12,20:32:12,2023-07-27
Code.exe,0,0.183333680033684,20:32:12,20:32:23,2023-07-27
Code.exe,0,0.0,20:32:23,20:32:23,2023-07-27
Code.exe,0,0.0,20:32:23,20:32:23,2023-07-27
Code.exe,1,0.0166665762662888,20:32:23,20:32:24,2023-07-27
Code.exe,0,0.0,20:32:24,20:32:24,2023-07-27
Code.exe,0,0.0,20:32:24,20:32:24,2023-07-27
ShellExperienceHost.exe,0,0.366666689515114,20:32:24,20:32:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:32:46,20:32:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:32:46,20:32:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:32:46,20:32:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:32:46,20:32:46,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:32:46,20:32:47,2023-07-27
ShellExperienceHost.exe,0,0.0,20:32:47,20:32:47,2023-07-27
ShellExperienceHost.exe,1,0.0166665762662888,20:32:47,20:32:48,2023-07-27
ShellExperienceHost.exe,0,0.0,20:32:48,20:32:48,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:32:48,20:32:49,2023-07-27
ShellExperienceHost.exe,2,0.0166665762662888,20:32:49,20:32:50,2023-07-27
explorer.exe,0,0.0,20:32:50,20:32:50,2023-07-27
explorer.exe,0,0.0833335518836975,20:32:50,20:32:55,2023-07-27
explorer.exe,0,0.0166665762662888,20:32:55,20:32:56,2023-07-27
explorer.exe,1,0.0,20:32:56,20:32:56,2023-07-27
explorer.exe,0,0.0166665762662888,20:32:56,20:32:57,2023-07-27
explorer.exe,0,0.300000384449959,20:32:57,20:33:15,2023-07-27
explorer.exe,1,0.0166665762662888,20:33:15,20:33:16,2023-07-27
explorer.exe,0,0.0166665762662888,20:33:16,20:33:17,2023-07-27
explorer.exe,0,0.0,20:33:17,20:33:17,2023-07-27
explorer.exe,1,0.0,20:33:17,20:33:17,2023-07-27
explorer.exe,0,0.0,20:33:17,20:33:17,2023-07-27
ShellExperienceHost.exe,0,0.0499997287988663,20:33:17,20:33:20,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:20,20:33:21,2023-07-27
ShellExperienceHost.exe,0,0.0833335518836975,20:33:21,20:33:26,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:26,20:33:27,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:27,20:33:28,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:28,20:33:28,2023-07-27
ShellExperienceHost.exe,1,0.0333338230848312,20:33:28,20:33:30,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:30,20:33:30,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:30,20:33:30,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:30,20:33:31,2023-07-27
ShellExperienceHost.exe,1,0.0166665762662888,20:33:31,20:33:32,2023-07-27
ShellExperienceHost.exe,0,0.0333331525325775,20:33:32,20:33:34,2023-07-27
ShellExperienceHost.exe,1,0.0833335518836975,20:33:34,20:33:39,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:39,20:33:40,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:40,20:33:40,2023-07-27
